Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2022,2022-07-31,"4300,3",31,Julio,7
2022,2022-07-30,"4300,3",30,Julio,7
2022,2022-07-29,"4375,51",29,Julio,7
2022,2022-07-28,"4420,75",28,Julio,7
2022,2022-07-27,"4445,01",27,Julio,7
2022,2022-07-26,"4461,63",26,Julio,7
2022,2022-07-25,"4423,86",25,Julio,7
2022,2022-07-24,"4423,86",24,Julio,7
2022,2022-07-23,"4423,86",23,Julio,7
2022,2022-07-22,"4410,14",22,Julio,7
2022,2022-07-21,"4303,34",21,Julio,7
2022,2022-07-20,"4303,34",20,Julio,7
2022,2022-07-19,"4315,41",19,Julio,7
2022,2022-07-18,"4395,63",18,Julio,7
2022,2022-07-17,"4395,63",17,Julio,7
2022,2022-07-16,"4395,63",16,Julio,7
2022,2022-07-15,"4519,65",15,Julio,7
2022,2022-07-14,"4558,05",14,Julio,7
2022,2022-07-13,"4627,46",13,Julio,7
2022,2022-07-12,"4513,28",12,Julio,7
2022,2022-07-11,"4388,27",11,Julio,7
2022,2022-07-10,"4388,27",10,Julio,7
2022,2022-07-09,"4388,27",9,Julio,7
2022,2022-07-08,"4369,7",8,Julio,7
2022,2022-07-07,"4348,68",7,Julio,7
2022,2022-07-06,"4259,86",6,Julio,7
2022,2022-07-05,"4198,77",5,Julio,7
2022,2022-07-04,"4198,77",4,Julio,7
2022,2022-07-03,"4198,77",3,Julio,7
2022,2022-07-02,"4198,77",2,Julio,7
2022,2022-07-01,"4151,21",1,Julio,7
2022,2022-06-30,"4127,47",30,Junio,6
2022,2022-06-29,"4089,72",29,Junio,6
2022,2022-06-28,"4129,87",28,Junio,6
2022,2022-06-27,"4129,87",27,Junio,6
2022,2022-06-26,"4129,87",26,Junio,6
2022,2022-06-25,"4129,87",25,Junio,6
2022,2022-06-24,"4068,75",24,Junio,6
2022,2022-06-23,"4026,52",23,Junio,6
2022,2022-06-22,"4026,92",22,Junio,6
2022,2022-06-21,"3905,05",21,Junio,6
2022,2022-06-20,"3905,05",20,Junio,6
2022,2022-06-19,"3905,05",19,Junio,6
2022,2022-06-18,"3905,05",18,Junio,6
2022,2022-06-17,"3912,15",17,Junio,6
2022,2022-06-16,"3923,96",16,Junio,6
2022,2022-06-15,"3979,3",15,Junio,6
2022,2022-06-14,"4016,5",14,Junio,6
2022,2022-06-13,"3912,51",13,Junio,6
2022,2022-06-12,"3912,51",12,Junio,6
2022,2022-06-11,"3912,51",11,Junio,6
2022,2022-06-10,"3833,34",10,Junio,6
2022,2022-06-09,"3782,65",9,Junio,6
2022,2022-06-08,"3790,88",8,Junio,6
2022,2022-06-07,"3799,5",7,Junio,6
2022,2022-06-06,"3771,63",6,Junio,6
2022,2022-06-05,"3771,63",5,Junio,6
2022,2022-06-04,"3771,63",4,Junio,6
2022,2022-06-03,"3784,98",3,Junio,6
2022,2022-06-02,"3791,74",2,Junio,6
2022,2022-06-01,"3776,52",1,Junio,6
2022,2022-05-31,"3912,34",31,Mayo,5
2022,2022-05-30,"3912,34",30,Mayo,5
2022,2022-05-29,"3912,34",29,Mayo,5
2022,2022-05-28,"3912,34",28,Mayo,5
2022,2022-05-27,"3930,89",27,Mayo,5
2022,2022-05-26,"3959,05",26,Mayo,5
2022,2022-05-25,"3971,28",25,Mayo,5
2022,2022-05-24,"3950,35",24,Mayo,5
2022,2022-05-23,"3989,84",23,Mayo,5
2022,2022-05-22,"3989,84",22,Mayo,5
2022,2022-05-21,"3989,84",21,Mayo,5
2022,2022-05-20,"4050,88",20,Mayo,5
2022,2022-05-19,"4054,71",19,Mayo,5
2022,2022-05-18,"4033,85",18,Mayo,5
2022,2022-05-17,"4070,25",17,Mayo,5
2022,2022-05-16,"4110,53",16,Mayo,5
2022,2022-05-15,"4110,53",15,Mayo,5
2022,2022-05-14,"4110,53",14,Mayo,5
2022,2022-05-13,"4109,71",13,Mayo,5
2022,2022-05-12,"4080,32",12,Mayo,5
2022,2022-05-11,"4086,71",11,Mayo,5
2022,2022-05-10,"4085,76",10,Mayo,5
2022,2022-05-09,"4053,93",9,Mayo,5
2022,2022-05-08,"4053,93",8,Mayo,5
2022,2022-05-07,"4053,93",7,Mayo,5
2022,2022-05-06,"4086,08",6,Mayo,5
2022,2022-05-05,"4056,41",5,Mayo,5
2022,2022-05-04,"4016,34",4,Mayo,5
2022,2022-05-03,"4004,07",3,Mayo,5
2022,2022-05-02,"3966,27",2,Mayo,5
2022,2022-05-01,"3966,27",1,Mayo,5
2022,2022-04-30,"3966,27",30,Abril,4
2022,2022-04-29,"3984,77",29,Abril,4
2022,2022-04-28,"",28,Abril,4
2022,2022-04-27,"3947,63",27,Abril,4
2022,2022-04-26,"3931,74",26,Abril,4
2022,2022-04-25,"3819,07",25,Abril,4
2022,2022-04-24,"3819,07",24,Abril,4
2022,2022-04-23,"3819,07",23,Abril,4
2022,2022-04-22,"3759,54",22,Abril,4
2022,2022-04-21,"3758,65",21,Abril,4
2022,2022-04-20,"3755,85",20,Abril,4
2022,2022-04-19,"3731,31",19,Abril,4
2022,2022-04-18,"3737,32",18,Abril,4
2022,2022-04-17,"3737,32",17,Abril,4
2022,2022-04-16,"3737,32",16,Abril,4
2022,2022-04-15,"3737,32",15,Abril,4
2022,2022-04-14,"3737,32",14,Abril,4
2022,2022-04-13,"3736,7",13,Abril,4
2022,2022-04-12,"3744,16",12,Abril,4
2022,2022-04-11,"3777,41",11,Abril,4
2022,2022-04-10,"3777,41",10,Abril,4
2022,2022-04-09,"3777,41",9,Abril,4
2022,2022-04-08,"3771,83",8,Abril,4
2022,2022-04-07,"3746,51",7,Abril,4
2022,2022-04-06,"3723,79",6,Abril,4
2022,2022-04-05,"3706,95",5,Abril,4
2022,2022-04-04,"3774,79",4,Abril,4
2022,2022-04-03,"3774,79",3,Abril,4
2022,2022-04-02,"3774,79",2,Abril,4
2022,2022-04-01,"3756,03",1,Abril,4
2022,2022-03-31,"3748,15",31,Marzo,3
2022,2022-03-30,"3765,96",30,Marzo,3
2022,2022-03-29,"3785,7",29,Marzo,3
2022,2022-03-28,"3785,66",28,Marzo,3
2022,2022-03-27,"3785,66",27,Marzo,3
2022,2022-03-26,"3785,66",26,Marzo,3
2022,2022-03-25,"3798,9",25,Marzo,3
2022,2022-03-24,"3756,64",24,Marzo,3
2022,2022-03-23,"3765,67",23,Marzo,3
2022,2022-03-22,"3820,67",22,Marzo,3
2022,2022-03-21,"3820,67",21,Marzo,3
2022,2022-03-20,"3820,67",20,Marzo,3
2022,2022-03-19,"3820,67",19,Marzo,3
2022,2022-03-18,"3816,43",18,Marzo,3
2022,2022-03-17,"3826,89",17,Marzo,3
2022,2022-03-16,"3836,56",16,Marzo,3
2022,2022-03-15,"3800,85",15,Marzo,3
2022,2022-03-14,"3827,64",14,Marzo,3
2022,2022-03-13,"3827,64",13,Marzo,3
2022,2022-03-12,"3827,64",12,Marzo,3
2022,2022-03-11,3786,11,Marzo,3
2022,2022-03-10,"3746,43",10,Marzo,3
2022,2022-03-09,"3787,18",9,Marzo,3
2022,2022-03-08,"3813,41",8,Marzo,3
2022,2022-03-07,"3806,11",7,Marzo,3
2022,2022-03-06,"3806,11",6,Marzo,3
2022,2022-03-05,"3806,11",5,Marzo,3
2022,2022-03-04,"3771,77",4,Marzo,3
2022,2022-03-03,"3862,95",3,Marzo,3
2022,2022-03-02,"3901,62",2,Marzo,3
2022,2022-03-01,"3910,28",1,Marzo,3
2022,2022-02-28,"3910,64",28,Febrero,2
2022,2022-02-27,"3910,64",27,Febrero,2
2022,2022-02-26,"3910,64",26,Febrero,2
2022,2022-02-25,"3940,2",25,Febrero,2
2022,2022-02-24,,24,Febrero,2
2022,2022-02-23,"3932,4",23,Febrero,2
2022,2022-02-22,"3927,25",22,Febrero,2
2022,2022-02-21,"3927,25",21,Febrero,2
2022,2022-02-20,"3927,25",20,Febrero,2
2022,2022-02-19,"3927,25",19,Febrero,2
2022,2022-02-18,"3953,26",18,Febrero,2
2022,2022-02-17,"3963,72",17,Febrero,2
2022,2022-02-16,"3946,88",16,Febrero,2
2022,2022-02-15,"3938,97",15,Febrero,2
2022,2022-02-14,"3917,52",14,Febrero,2
2022,2022-02-13,"3917,52",13,Febrero,2
2022,2022-02-12,"3917,52",12,Febrero,2
2022,2022-02-11,"3917,75",11,Febrero,2
2022,2022-02-10,"3939,31",10,Febrero,2
2022,2022-02-09,"3965,41",9,Febrero,2
2022,2022-02-08,"3963,84",8,Febrero,2
2022,2022-02-07,"3962,68",7,Febrero,2
2022,2022-02-06,"3962,68",6,Febrero,2
2022,2022-02-05,"3962,68",5,Febrero,2
2022,2022-02-04,"3951,96",4,Febrero,2
2022,2022-02-03,"3928,05",3,Febrero,2
2022,2022-02-02,"3923,61",2,Febrero,2
2022,2022-02-01,"3942,73",1,Febrero,2
2022,2022-01-31,"3982,6",31,Enero,1
2022,2022-01-30,"3982,6",30,Enero,1
2022,2022-01-29,"3982,6",29,Enero,1
2022,2022-01-28,"3944,04",28,Enero,1
2022,2022-01-27,"3947,83",27,Enero,1
